Nro.;Fecha de trámite;Órgano;Sede;Departamento;Provincia;Distrito;Tipo de trámite;Edad;Sexo
185479;24/07/2021;DRIAS;Drias - Iquitos;Loreto;Maynas;Mazan;Inscripción por primera vez;0;MASCULINO
185480;26/07/2021;DRIAS;Drias - Iquitos;Loreto;Maynas;Indiana;Inscripción por primera vez;72;MASCULINO
185489;11/08/2021;DRIAS;Drias - Iquitos;Loreto;Maynas;Indiana;Renovación y Rectificación;3;MASCULINO
185493;16/08/2021;DRIAS;Drias - Iquitos;Loreto;Maynas;Torres Causana;Renovación y Rectificación;16;FEMENINO
185508;20/08/2021;DRIAS;Drias - Iquitos;Loreto;Maynas;Napo;Renovación y Rectificación;16;FEMENINO
185509;21/08/2021;DRIAS;Drias - Iquitos;Loreto;Datem del Marañón;Andoas;Inscripción por primera vez;0;FEMENINO
185510;21/08/2021;DRIAS;Drias - Iquitos;Loreto;Datem del Marañón;Andoas;Inscripción por primera vez;0;FEMENINO
185511;21/08/2021;DRIAS;Drias - Iquitos;Loreto;Datem del Marañón;Andoas;Inscripción por primera vez;0;FEMENINO
185512;21/08/2021;DRIAS;Drias - Iquitos;Loreto;Datem del Marañón;Andoas;Inscripción por primera vez;0;MASCULINO
185513;21/08/2021;DRIAS;Drias - Iquitos;Loreto;Datem del Marañón;Andoas;Inscripción por primera vez;0;MASCULINO
185515;22/08/2021;DRIAS;Drias - Iquitos;Loreto;Datem del Marañón;Andoas;Inscripción por primera vez;3;FEMENINO
185516;22/08/2021;DRIAS;Drias - Iquitos;Loreto;Datem del Marañón;Andoas;Inscripción por primera vez;0;MASCULINO
185517;22/08/2021;DRIAS;Drias - Iquitos;Loreto;Datem del Marañón;Andoas;Inscripción por primera vez;0;FEMENINO
185519;23/08/2021;DRIAS;Drias - Iquitos;Loreto;Datem del Marañón;Andoas;Inscripción por primera vez;2;MASCULINO
185520;23/08/2021;DRIAS;Drias - Iquitos;Loreto;Datem del Marañón;Andoas;Inscripción por primera vez;1;MASCULINO
185522;24/08/2021;DRIAS;Drias - Iquitos;Loreto;Datem del Marañón;Andoas;Inscripción por primera vez;3;FEMENINO
185524;24/08/2021;DRIAS;Drias - Iquitos;Loreto;Datem del Marañón;Andoas;Inscripción por primera vez;3;MASCULINO
185529;24/08/2021;DRIAS;Drias - Iquitos;Loreto;Maynas;Las Amazonas;Inscripción por primera vez;3;FEMENINO
185537;25/08/2021;DRIAS;Drias - Iquitos;Loreto;Datem del Marañón;Andoas;Inscripción por primera vez;3;FEMENINO
185538;25/08/2021;DRIAS;Drias - Iquitos;Loreto;Datem del Marañón;Andoas;Inscripción por primera vez;4;FEMENINO
